Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;denominazione_pe;insegna;superficie_somministrazione;CAP;ID_NIL;NIL;MUNICIPIO;LONG_WGS84;LAT_WGS84;Location
PE/26062;PIAZZA BANDIERA (F.LLI) N. 13 (z.d. 3);SOMMINISTRAZIONE - In piano;PIAZZA BANDIERA (F.LLI);13;3182.0;g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;57.0;20129.0;21.0;BUENOS AIRES - VENEZIA;3.0;9.21138357925;45.4708538472;45.4708538472, 9.21138357925
PE/24514;VIA MUSSI GIUSEPPE N. 13 (z.d. 8);SOMMINISTRAZIONE - In piano;VIA MUSSI GIUSEPPE;13;7199.0;e - Bar gastronomici e simili;;15.0;20154.0;69.0;SARPI;8.0;9.1664781839054;45.4829332001083;45.4829332001083, 9.1664781839054
PE/24515;Viale MOLISE N. 54 (z.d. 4);SOMMINISTRAZIONE - In piano;Viale MOLISE;54;3178.0;a - Ristorante, trattoria, osteria con cucina e simili;;99.0;20137.0;29.0;ORTOMERCATO;4.0;9.22436003768;45.4542383748;45.4542383748, 9.22436003768
PE/26065;VIA PALIZZI FILIPPO N. 119 (z.d. 8);SOMMINISTRAZIONE - In piano;VIA PALIZZI FILIPPO;119;7451.0;e - Bar gastronomici e simili|f - Bar caffè e simili;;59.0;20157.0;76.0;QUARTO OGGIARO;8.0;9.13367290882;45.5084422216;45.5084422216, 9.13367290882
C-PE/61;Viale MONZA N. 256| isolato:040| accesso: accesso esterno| (z.d. 2);SOMMINISTRAZIONE - In piano;Viale MONZA;256;2274.0;a - Ristorante, trattoria, osteria con cucina e simili|d - Pizzerie e simili;;139.0;20128.0;16.0;VLE MONZA;2.0;9.22577045811;45.5156104946;45.5156104946, 9.22577045811
PE/24736;Via MUSATTI CESARE N. 8 (z.d. 1);SOMMINISTRAZIONE - In piano;Via MUSATTI CESARE;8;7603.0;a - Ristorante, trattoria, osteria con cucina e simili;;421.0;20157.0;75.0;STEPHENSON;8.0;9.12371061027;45.5112784827;45.5112784827, 9.12371061027
PE/26071;Largo CROCETTA (DELLA) N. 2 (z.d. 1);SOMMINISTRAZIONE - In piano;Largo CROCETTA (DELLA);2;654.0;e - Bar gastronomici e simili;;60.0;20122.0;5.0;VIGENTINA;1.0;9.19542534875;45.4558966703;45.4558966703, 9.19542534875
PE/24504;Via BRONZINO N. 1 (z.d. 3);SOMMINISTRAZIONE - In piano;Via BRONZINO;1;2191.0;e - Bar gastronomici e simili;;57.0;20129.0;21.0;BUENOS AIRES - VENEZIA;3.0;9.21937241361;45.474653828;45.474653828, 9.21937241361
PE/24505;VIA POLIZIANO N. 12 (z.d. 8);SOMMINISTRAZIONE - In piano;VIA POLIZIANO;12;7196.0;;;59.0;20154.0;69.0;SARPI;8.0;9.16566195038373;45.4835815429208;45.4835815429208, 9.16566195038373
PE/26561;VIA PASSARELLA N. 4 (z.d. 1);SOMMINISTRAZIONE - In piano;VIA PASSARELLA;4;298.0;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;65.0;20122.0;1.0;DUOMO;1.0;9.19452001501;45.4648127621;45.4648127621, 9.19452001501
PE/24474;Via LOMBARDINI ELIA N. 1 (z.d. 6);SOMMINISTRAZIONE - In piano;Via LOMBARDINI ELIA;1;5146.0;;;59.0;20143.0;44.0;NAVIGLI;6.0;9.16417552724;45.4491590722;45.4491590722, 9.16417552724
PE/24617;Viale MONZA N. 22 (z.d. 2);SOMMINISTRAZIONE - In piano;Viale MONZA;22;2274.0;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;70.0;20127.0;20.0;LORETO;2.0;9.21786669163;45.4894016668;45.4894016668, 9.21786669163
PE/27374;VIA CASATI FELICE N. 8 (z.d. 3);SOMMINISTRAZIONE - In piano;VIA CASATI FELICE;8;2122.0;a - Ristorante, trattoria, osteria con cucina e simili;;179.0;20124.0;21.0;BUENOS AIRES - VENEZIA;3.0;9.20587163608;45.4777729208;45.4777729208, 9.20587163608
PE/25745;Via MUZIO SCEVOLA N. 4 (z.d. 3);SOMMINISTRAZIONE - In piano;Via MUZIO SCEVOLA;4;2663.0;e - Bar gastronomici e simili;;17.0;20134.0;23.0;LAMBRATE;3.0;9.24100621771;45.4831749645;45.4831749645, 9.24100621771
PE/27326;Via GREGORIO (SAN) N. 40 (z.d. 2);SOMMINISTRAZIONE - In piano;Via GREGORIO (SAN);40;2123.0;e - Bar gastronomici e simili|f - Bar caffè e simili;;38.0;20124.0;10.0;CENTRALE;2.0;9.20192654494154;45.4809182884537;45.4809182884537, 9.20192654494154
PE/27333;Via BRAMANTE N. 20 (z.d. 1);SOMMINISTRAZIONE - In piano;Via BRAMANTE;20;7123.0;;;72.0;20154.0;69.0;SARPI;1.0;9.17944057276;45.4808494924;45.4808494924, 9.17944057276
PE/24535;Via GIAMBELLINO N. 150 (z.d. 6);SOMMINISTRAZIONE - In piano;Via GIAMBELLINO;150;5136.0;e - Bar gastronomici e simili;;29.0;20147.0;49.0;GIAMBELLINO;6.0;9.13057142551;45.4449765324;45.4449765324, 9.13057142551
PE/24546;Via PIERLUIGI GIOVANNI DA PALESTRINA N. 32 (z.d. 2);SOMMINISTRAZIONE - In piano;Via PIERLUIGI GIOVANNI DA PALESTRINA;32;2235.0;e - Bar gastronomici e simili;;28.0;20124.0;10.0;CENTRALE;2.0;9.20979614615655;45.4873845683719;45.4873845683719, 9.20979614615655
PE/24547;VIA RIPAMONTI GIUSEPPE N. 190 (z.d. 5);SOMMINISTRAZIONE - In piano;VIA RIPAMONTI GIUSEPPE;190;4066.0;c - Tavole calde,self service, fast food e simili;;41.0;20141.0;38.0;RIPAMONTI;5.0;9.20103023676;45.4329812948;45.4329812948, 9.20103023676
